CMDLINE 22536
MEM 3.417969 1714303963.2146
MEM 3.417969 1714303963.3150
MEM 3.417969 1714303963.4152
MEM 3.417969 1714303963.5155
MEM 3.417969 1714303963.6158
MEM 3.417969 1714303963.7159
MEM 3.417969 1714303963.8161
MEM 3.417969 1714303963.9168
MEM 3.417969 1714303964.0171
MEM 3.417969 1714303964.1177
MEM 3.417969 1714303964.2185
MEM 3.417969 1714303964.3191
MEM 3.417969 1714303964.4195
MEM 3.417969 1714303964.5200
MEM 3.417969 1714303964.6210
MEM 3.417969 1714303964.7212
MEM 3.417969 1714303964.8217
MEM 3.417969 1714303964.9225
MEM 3.417969 1714303965.0231
MEM 3.417969 1714303965.1234
MEM 3.417969 1714303965.2240
MEM 3.417969 1714303965.3247
MEM 3.417969 1714303965.4250
MEM 3.417969 1714303965.5257
MEM 3.417969 1714303965.6261
MEM 3.417969 1714303965.7267
MEM 3.417969 1714303965.8276
MEM 3.417969 1714303965.9283
MEM 3.417969 1714303966.0288
MEM 3.417969 1714303966.1292
MEM 3.417969 1714303966.2299
MEM 3.417969 1714303966.3302
MEM 3.417969 1714303966.4307
MEM 3.417969 1714303966.5310
MEM 3.417969 1714303966.6314
MEM 3.417969 1714303966.7318
MEM 3.417969 1714303966.8322
MEM 3.417969 1714303966.9327
MEM 3.417969 1714303967.0335
MEM 3.417969 1714303967.1338
MEM 3.417969 1714303967.2344
MEM 3.417969 1714303967.3346
MEM 3.417969 1714303967.4352
MEM 3.417969 1714303967.5358
MEM 3.417969 1714303967.6363
MEM 3.417969 1714303967.7366
MEM 3.417969 1714303967.8371
MEM 3.417969 1714303967.9376
MEM 3.417969 1714303968.0378
MEM 3.417969 1714303968.1385
MEM 3.417969 1714303968.2391
MEM 3.417969 1714303968.3395
MEM 3.417969 1714303968.4398
MEM 3.417969 1714303968.5401
MEM 3.417969 1714303968.6404
MEM 3.417969 1714303968.7407
MEM 3.417969 1714303968.8410
MEM 3.417969 1714303968.9416
MEM 3.417969 1714303969.0418
MEM 3.417969 1714303969.1423
MEM 3.417969 1714303969.2427
MEM 3.417969 1714303969.3431
MEM 3.417969 1714303969.4435
MEM 3.417969 1714303969.5438
MEM 3.417969 1714303969.6443
MEM 3.417969 1714303969.7446
MEM 3.417969 1714303969.8452
MEM 3.417969 1714303969.9456
MEM 3.417969 1714303970.0459
MEM 3.417969 1714303970.1465
MEM 3.417969 1714303970.2472
MEM 3.417969 1714303970.3478
MEM 3.417969 1714303970.4483
MEM 3.417969 1714303970.5488
MEM 3.417969 1714303970.6492
MEM 3.417969 1714303970.7495
MEM 3.417969 1714303970.8501
MEM 3.417969 1714303970.9507
MEM 3.417969 1714303971.0511
MEM 3.417969 1714303971.1517
MEM 3.417969 1714303971.2524
MEM 3.417969 1714303971.3528
MEM 3.417969 1714303971.4535
MEM 3.417969 1714303971.5541
MEM 3.417969 1714303971.6548
MEM 3.417969 1714303971.7556
MEM 3.417969 1714303971.8562
MEM 3.417969 1714303971.9568
MEM 3.417969 1714303972.0573
MEM 3.417969 1714303972.1579
MEM 3.417969 1714303972.2582
MEM 3.417969 1714303972.3585
MEM 3.417969 1714303972.4590
